title,author,tags,link,source
Building Social: A Case Study On Progressive Enhancement,Marko Dugonjić,"Navigation,Responsive Web Design",https://www.smashingmagazine.com/2016/09/building-social-a-case-study-on-progressive-enhancement/,Smashing Magazine
Understanding REST And RPC For HTTP APIs,Phil Sturgeon,"JavaScript,Ruby on Rails,Tools",https://www.smashingmagazine.com/2016/09/understanding-rest-and-rpc-for-http-apis/,Smashing Magazine
"Content Security Policy, Your Future Best Friend",Nicolas Hoffmann,"Security,Tools",https://www.smashingmagazine.com/2016/09/content-security-policy-your-future-best-friend/,Smashing Magazine
How To Scale React Applications,Max Stoiber,"JavaScript,React,Tools",https://www.smashingmagazine.com/2016/09/how-to-scale-react-applications/,Smashing Magazine
Redesigning SGS’ Seven-Level Navigation System: A Case Study,Marko Dugonjić,"Navigation,Responsive Web Design",https://www.smashingmagazine.com/2016/09/redesigning-sgs-seven-level-navigation-system-a-case-study/,Smashing Magazine
The Building Blocks Of Progressive Web Apps,Ada Rose Edwards,"Apps,Service Workers,Techniques",https://www.smashingmagazine.com/2016/09/the-building-blocks-of-progressive-web-apps/,Smashing Magazine
Ways To Reduce Content Shifting On Page Load,Michael Scharnagl,"Performance,Usability",https://www.smashingmagazine.com/2016/08/ways-to-reduce-content-shifting-on-page-load/,Smashing Magazine
"I Contributed To An Open-Source Editor, And So Can You",Christian Heilmann,"Community,Open Source",https://www.smashingmagazine.com/2016/08/contributing-open-source/,Smashing Magazine
Building A Server-Side Application With Async Functions and Koa 2,Alex Rudenko,"API,Frameworks,JavaScript",https://www.smashingmagazine.com/2016/08/getting-started-koa-2-async-functions/,Smashing Magazine
Sponsored PostS(GH)PA: The Single-Page App Hack For GitHub Pages,Daniel Buchner,"Git,Static Generators,Version Control",https://www.smashingmagazine.com/2016/08/sghpa-single-page-app-hack-github-pages/,Smashing Magazine
A Glimpse Into The Future With React Native For Web,Clayton Anderson,"Apps,JavaScript,Performance",https://www.smashingmagazine.com/2016/08/a-glimpse-into-the-future-with-react-native-for-web/,Smashing Magazine
Optimizing Critical-Path Performance With Express Server And Handlebars,Filip Bartos,"CSS,Node.js,Performance",https://www.smashingmagazine.com/2016/08/optimizing-critical-path-performance-with-express-server-and-handlebars/,Smashing Magazine
"Sponsored PostHow To Create A Responsive 8-Bit Drum Machine Using Web Audio, SVG And Multitouch",David Rousset,"SVG,Tools,Web Audio",https://www.smashingmagazine.com/2016/08/how-to-create-a-responsive-8-bit-drum-machine-using-web-audio-svg-and-multitouch/,Smashing Magazine
Using A Static Site Generator At Scale: Lessons Learned,Stefan Baumgartner,Static Generators,https://www.smashingmagazine.com/2016/08/using-a-static-site-generator-at-scale-lessons-learned/,Smashing Magazine
The Illusion Of Life: An SVG Animation Case Study,Michael Ngo,SVG,https://www.smashingmagazine.com/2016/07/an-svg-animation-case-study/,Smashing Magazine
