title,author,tags,link,source
Who Needs AMP? How to Lazy Load Responsive Images Quick and Easy with Layzr.js,Kezz Bracey,JavaScript,https://photography.tutsplus.com/tutorials/who-needs-amp-how-to-lazy-load-responsive-images-quick-and-easy-with-layzr--cms-27221,Envato Tuts+
Get Started With Firebase for Android,Ashraff Hathibelagal,Android SDK,https://code.tutsplus.com/tutorials/get-started-with-firebase-for-android--cms-27248,Envato Tuts+
New Coffee Break Course on React Router,Andrew Blackman,React,https://code.tutsplus.com/articles/new-coffee-break-course-on-react-router--cms-27273,Envato Tuts+
Control a Star Wars BB-8 Droid With Arm Gestures and IBM Bluemix Internet of Things ,Jeff Reifman,Cloud Services,https://code.tutsplus.com/tutorials/control-a-star-wars-bb-8-droid-with-arm-gestures-and-ibm-bluemix-internet-of-things--cms-27255,Envato Tuts+
Get Started With Angular 2 and TypeScript,Reginald Dawson,Angular 2,https://code.tutsplus.com/tutorials/get-started-with-angular-2--cms-27268,Envato Tuts+
Control a Droid With Your Mind and IBM Bluemix Internet of Things,Jeff Reifman,Cloud Services,https://code.tutsplus.com/tutorials/control-a-droid-with-your-mind-and-ibm-bluemix-internet-of-things--cms-27254,Envato Tuts+
Create a Pokémon GO Style Augmented Reality Game With Vuforia,Tin Megali,Mobile Development,https://code.tutsplus.com/tutorials/creating-ar-games-on-unity-using-vuforia-part-1--cms-27210,Envato Tuts+
Particles.js: Motion and Interaction,Monty Shokeen,JavaScript,https://code.tutsplus.com/tutorials/particles-js-motion-and-interaction--cms-26302,Envato Tuts+
Sympli for Developers,Davis Allie,Xcode,https://code.tutsplus.com/articles/symplify-your-design-workflow--cms-27143,Envato Tuts+
Now Available: Web Templates on Envato Elements,Andrew Blackman,News,https://business.tutsplus.com/articles/envato-elements-web-templates--cms-27331,Envato Tuts+
Improving Website Performance Through Image Optimization,Alok Shah,Web Development,https://code.tutsplus.com/tutorials/improving-website-performance-through-image-optimization--cms-27211,Envato Tuts+
Building a Welcome Page for Your WordPress Product: Code Part 2,Ahmad Awais,WordPress,https://code.tutsplus.com/articles/building-a-welcome-page-for-your-wordpress-product-code-part-2--cms-26059,Envato Tuts+
Building Your Startup: Exporting iCal Files into Calendar Events,Jeff Reifman,PHP,https://code.tutsplus.com/tutorials/building-your-startup-exporting-ical-files-into-calendar-events--cms-26435,Envato Tuts+
An Introduction to the UserNotifications Framework,Davis Allie,iOS,https://code.tutsplus.com/tutorials/an-introduction-to-the-usernotifications-framework--cms-27250,Envato Tuts+
Particles.js: Control Particle Count and Shape ,Monty Shokeen,JavaScript,https://code.tutsplus.com/tutorials/particles-js-control-particle-count-and-shape--cms-26290,Envato Tuts+
Google Play Services: Google Cast v3 and Media,Paul Trebilcox-Ruiz,Android SDK,https://code.tutsplus.com/tutorials/google-play-services-google-cast-v3-and-media--cms-26893,Envato Tuts+
Particles.js: Introduction,Monty Shokeen,JavaScript,https://code.tutsplus.com/tutorials/particles-js-introduction--cms-26285,Envato Tuts+
How to Set Up Basic Routing in Angular 2,Reginald Dawson,Angular 2,https://code.tutsplus.com/tutorials/angular-2-routing--cms-27275,Envato Tuts+
"Exploring Devise, Part 1",Kingsley Silas Chijioke,Ruby on Rails,https://code.tutsplus.com/tutorials/exploring-devise-part-1--cms-26587,Envato Tuts+
"Creating Custom WordPress Administration Pages, Part 3",Tom McFarlin,WordPress Plugins,https://code.tutsplus.com/tutorials/creating-custom-admin-pages-in-wordpress-3--cms-27017,Envato Tuts+
Apply Photo Filters With Core Image in Swift,Francesco Franchini,iOS SDK,https://code.tutsplus.com/tutorials/ios-sdk-apply-photo-filters-with-core-image-in-swift--cms-27142,Envato Tuts+
WordPress Development With VVV,Louie R. ,WordPress,https://code.tutsplus.com/tutorials/wordpress-development-with-vvv--cms-26322,Envato Tuts+
Building a Welcome Page for Your WordPress Product: Code Part 1,Ahmad Awais,WordPress,https://code.tutsplus.com/articles/building-a-welcome-page-for-your-wordpress-product-code-part-1--cms-26014,Envato Tuts+
New Coffee Break Course on WordPress Site Settings,Andrew Blackman,WordPress,https://code.tutsplus.com/articles/new-coffee-break-course-on-wordpress-site-settings--cms-27239,Envato Tuts+
Practical Concurrency on Android With HaMeR,Tin Megali,Android SDK,https://code.tutsplus.com/tutorials/practical-concurrency-on-android-with-hamer--cms-27137,Envato Tuts+
Building Your Startup With PHP: Simplifying Onramp With OAuth,Jeff Reifman,Yii,https://code.tutsplus.com/tutorials/building-your-startup-with-php-simplifying-onramp-with-oauth--cms-23512,Envato Tuts+
Setting Up Jekyll for GitHub Pages in 60 Seconds,CJ Melegrito,Jekyll,https://webdesign.tutsplus.com/tutorials/setting-up-jekyll-for-github-pages-in-60-seconds--cms-27256,Envato Tuts+
Android From Scratch: Firebase Crash Reporting,Ashraff Hathibelagal,Android SDK,https://code.tutsplus.com/tutorials/android-from-scratch-firebase-crash-reporting--cms-27167,Envato Tuts+
The Enhanced Script Notifications in OpenCart 2.2.x.x,Sajal Soni,OpenCart,https://code.tutsplus.com/tutorials/the-enhanced-script-notifications-in-opencart-22xx--cms-26469,Envato Tuts+
Grokking Scope in JavaScript,Peleke Sengstacke,JavaScript,https://code.tutsplus.com/tutorials/grokking-scope-in-javascript--cms-26259,Envato Tuts+
Passing Data Between Controllers in Swift,Francesco Franchini,iOS SDK,https://code.tutsplus.com/tutorials/ios-sdk-passing-data-between-controllers-in-swift--cms-27151,Envato Tuts+
10 Best WordPress Twitter Widgets,Eric Dye,WordPress Widgets,https://code.tutsplus.com/tutorials/10-best-wordpress-twitter-widgets--cms-27127,Envato Tuts+
Introducing Python's Matplotlib Library,Abder-Rahman Ali,Python,https://code.tutsplus.com/tutorials/introducing-matplotlib--cms-26543,Envato Tuts+
Integrating Sympli With Xcode,Davis Allie,Xcode,https://code.tutsplus.com/tutorials/integrating-sympli-with-xcode--cms-27005,Envato Tuts+
Building a Store Finder With Node.js and Redis,Kyle Davis,Node.js,https://code.tutsplus.com/tutorials/building-a-store-finder-with-nodejs-and-redis--cms-26283,Envato Tuts+
Pokémon GO Style Augmented Reality With Vuforia,Tin Megali,Mobile Development,https://code.tutsplus.com/tutorials/introducing-augmented-reality-with-vuforia--cms-27160,Envato Tuts+
Building Your Startup With PHP: Email Commands,Jeff Reifman,Yii,https://code.tutsplus.com/tutorials/building-your-startup-with-php-email-commands--cms-23288,Envato Tuts+
What Are the Three Trees? Find Out in Our New Course on Git Basics,Andrew Blackman,Git,https://code.tutsplus.com/articles/what-are-the-three-trees-find-out-in-our-new-course-on-git-basics--cms-27184,Envato Tuts+
List to Graph: How to Represent Your List as a Graph In Python,Abder-Rahman Ali,Python,https://code.tutsplus.com/tutorials/list-to-graph-how-to-represent-your-list-as-a-graph-in-python--cms-26472,Envato Tuts+
How to Use amp-img and amp-video to Speed Up Your Website,Kezz Bracey,AMP,https://photography.tutsplus.com/articles/how-to-use-to-amp-img-and-amp-video-to-speed-up-your-website--cms-27164,Envato Tuts+
"Creating Custom WordPress Administration Pages, Part 2",Tom McFarlin,WordPress Plugins,https://code.tutsplus.com/tutorials/creating-custom-admin-pages-in-wordpress-2--cms-26926,Envato Tuts+
Understanding Concurrency on Android Using HaMeR,Tin Megali,Android SDK,https://code.tutsplus.com/tutorials/concurrency-on-android-using-hamer-framework--cms-27129,Envato Tuts+
How to Use the react-redux Package,Andrew Burgess,React,https://code.tutsplus.com/tutorials/how-to-use-the-react-redux-package--cms-27150,Envato Tuts+
CSS Custom Properties: Variables,Monty Shokeen,CSS3,https://code.tutsplus.com/tutorials/css-custom-properties-variables--cms-26216,Envato Tuts+
Full-Text Search in Rails Using Elasticsearch,Pedro Alonso,Ruby on Rails,https://code.tutsplus.com/articles/full-text-search-in-rails-using-elasticsearch--cms-22920,Envato Tuts+
Android From Scratch: Using REST APIs,Ashraff Hathibelagal,Android SDK,https://code.tutsplus.com/tutorials/android-from-scratch-using-rest-apis--cms-27117,Envato Tuts+
